EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair,219,9,5,0
Appanoose,436,14,10,3
Boone,1602,68,40,0
Carroll,628,12,9,0
Clarke,467,62,24,0
Dallas,4931,924,603,24
Davis,351,26,15,0
Decatur,223,1,1,0
Greene,352,13,13,0
Guthrie,511,53,30,3
Jasper,1938,261,197,17
Lucas,239,19,3,1
Madison,568,30,23,2
Mahaska,805,97,27,10
Marion,998,34,25,0
Marshall,3562,899,540,16
Monroe,305,38,21,5
Polk,25519,4340,1908,133
Poweshiek,645,88,75,8
Ringgold,176,4,3,0
Story,2579,118,81,1
Tama,1556,405,313,27
Union,463,10,1,0
Warren,2114,144,104,0
Wayne,132,1,1,0
Butler,714,17,12,1
Cerro Gordo,2674,29,18,1
Chickasaw,407,12,8,0
Floyd,911,20,10,1
Franklin,612,13,8,0
Hancock,551,16,8,0
Hardin,535,17,10,0
Kossuth,398,14,3,0
Mitchell,358,4,4,0
Winnebago,350,11,10,0
Worth,295,3,3,0
Wright,1319,189,32,0
Buena Vista,4235,850,91,1
Calhoun,305,3,2,0
Cherokee,469,32,25,0
Clay,394,18,13,0
Dickinson,353,25,7,0
Emmet,267,18,6,0
Hamilton,1082,44,17,0
Humboldt,331,18,12,1
Ida,307,14,13,0
Lyon,286,24,18,0
Monona,379,25,18,0
O'Brien,442,33,18,0
Osceola,188,34,28,0
Palo Alto,161,7,2,0
Plymouth,1134,135,91,2
Pocahontas,267,13,2,0
Sac,569,21,13,0
Sioux,1238,287,131,0
Webster,1608,43,27,1
Woodbury,11259,2785,1771,36
Adams,121,7,4,0
Audubon,218,13,8,1
Cass,385,12,11,0
Crawford,1938,529,326,2
Fremont,147,4,2,0
Harrison,443,25,18,0
Mills,1218,19,18,0
Montgomery,328,8,6,0
Page,604,14,10,0
Pottawattamie,3169,273,170,8
Shelby,328,37,31,0
Taylor,373,59,5,0
Cedar,859,49,44,1
Clinton,1600,64,58,1
Des Moines,942,66,51,1
Henry,725,72,57,1
Iowa,691,34,31,0
Jackson,549,12,8,0
Jefferson,450,34,13,0
Johnson,7122,616,443,9
Keokuk,475,14,13,0
Lee,663,27,19,0
Louisa,1069,346,255,11
Muscatine,3024,559,442,41
Scott,6799,364,317,10
Van Buren,180,9,8,0
Wapello,2560,612,289,13
Washington,1457,190,158,8
Allamakee,823,120,88,4
Benton,955,43,33,1
Black Hawk,9375,1759,1011,45
Bremer,1133,69,59,6
Buchanan,752,33,28,0
Clayton,653,34,26,3
Delaware,591,17,14,1
Dubuque,5440,350,188,20
Fayette,813,27,26,0
Grundy,460,20,15,0
Howard,328,12,10,0
Jones,742,37,36,0
Linn,9492,958,773,79
Winneshiek,725,24,21,0
Pending Investigation,0,0,0,0
